Metric,Value
design__max_cap_violation__count__corner:max_ff_n40C_3v60,258
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.368248969518715
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.3691895504917789
timing__hold__ws__corner:max_ff_n40C_3v60,0.4203901790112553
timing__setup__ws__corner:max_ff_n40C_3v60,32.34322412550228
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.420390
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,32.343224
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,161
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count,161
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_3v30,3.29995
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_3v30,3.29999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_3v30,0.0000454659
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_3v30,0.0000420231
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_3v30,0.00000656869
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_3v30,0.0000420231
design_powergrid__voltage__worst,0.0000420231
design_powergrid__voltage__worst__net:VPWR,3.29995
design_powergrid__drop__worst,0.0000454659
design_powergrid__drop__worst__net:VPWR,0.0000454659
design_powergrid__voltage__worst__net:VGND,0.0000420231
design_powergrid__drop__worst__net:VGND,0.0000420231
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.000006579999999999999681066752132974073674631654284894466400146484375
ir__drop__worst,0.0000455000000000000014350499955018136688522645272314548492431640625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
