Metric,Value
timing__unannotated_net__count__corner:max_ss_125C_3v00,41
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,29
design__max_cap_violation__count__corner:max_ff_n40C_3v60,0
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.2829857261952356
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.2857605066791574
timing__hold__ws__corner:max_ff_n40C_3v60,0.22626956504458268
timing__setup__ws__corner:max_ff_n40C_3v60,10.155253814199064
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.226270
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,12.260156
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,41
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count,41
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_3v30,3.2999
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_3v30,3.29996
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_3v30,0.0000974884
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_3v30,0.0000975671
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_3v30,0.0000370492
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_3v30,0.0000975671
design_powergrid__voltage__worst,0.0000975671
design_powergrid__voltage__worst__net:VPWR,3.2999
design_powergrid__drop__worst,0.0000975671
design_powergrid__drop__worst__net:VPWR,0.0000974884
design_powergrid__voltage__worst__net:VGND,0.0000975671
design_powergrid__drop__worst__net:VGND,0.0000975671
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.0000377000000000000015762564864463257663373951800167560577392578125
ir__drop__worst,0.000097499999999999998234918863193598781435866840183734893798828125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
