Metric,Value
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,112
design__max_cap_violation__count__corner:max_ff_n40C_3v60,9
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.37924950364702725
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.3549993455235085
timing__hold__ws__corner:max_ff_n40C_3v60,0.20946600602473645
timing__setup__ws__corner:max_ff_n40C_3v60,7.012401524602709
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.209466
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,8.719227
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,104
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count,104
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_3v30,3.29976
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_3v30,3.29993
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_3v30,0.000243279
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_3v30,0.000239976
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_3v30,0.0000695813
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_3v30,0.000239976
design_powergrid__voltage__worst,0.000239976
design_powergrid__voltage__worst__net:VPWR,3.29976
design_powergrid__drop__worst,0.000243279
design_powergrid__drop__worst__net:VPWR,0.000243279
design_powergrid__voltage__worst__net:VGND,0.000239976
design_powergrid__drop__worst__net:VGND,0.000239976
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.00007009999999999999629844704696068902194383554160594940185546875
ir__drop__worst,0.0002429999999999999976858788830469393360544927418231964111328125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
