Metric,Value
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_3v30,1.0071E-8
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_3v30,1.97831E-8
design_powergrid__voltage__worst,1.97831E-8
design_powergrid__voltage__worst__net:VPWR,3.3
design_powergrid__drop__worst,1.97831E-8
design_powergrid__drop__worst__net:VPWR,1.77942E-8
design_powergrid__voltage__worst__net:VGND,1.97831E-8
design_powergrid__drop__worst__net:VGND,1.97831E-8
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,1.029999999999999958684511101002223565359372514649294316768646240234375E-8
ir__drop__worst,1.78000000000000005709449297890134555899521728861145675182342529296875E-8
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
